CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Hello	你好	こんにちは	Hola	Habari	Hej	สวัสดี	Halo	Xin chào	Olá	안녕하세요	မင်္ဂလာပါ
L_3	Your account has insufficient funds	您的帳戶資金不足	アカウントの残高が不足しています	Su cuenta no tiene fondos suficientes	Akaunti yako haina fedha za kutosha	Din konto har utilstrækkelige midler	บัญชีของคุณมีเงินไม่เพียงพอ	Akun Anda tidak memiliki dana yang cukup	Tài khoản của bạn không đủ tiền	Sua conta não tem fundos suficientes	귀하의 계좌에 자금이 부족합니다.	သင့်အကောင့်တွင် ရန်ပုံငွေမလုံလောက်ပါ။
L_4	OK	重读	わかりました	DE ACUERDO	Sawa	OK	ตกลง	OKE	ĐƯỢC RỒI	OK	좋아요	အိုကေ
L_5	PLEASE CLOSE THE GAME.	請關閉遊戲。	ゲームを終了してください。	POR FAVOR CIERRE EL JUEGO.	TAFADHALI FUNGA MCHEZO.	VENLIGST LUK SPILLET.	กรุณาปิดเกม	HARAP TUTUP PERMAINANNYA.	VUI LÒNG ĐÓNG TRÒ CHƠI.	POR FAVOR, FECHE O JOGO.	게임을 종료해 주세요.	ကျေးဇူးပြု၍ ဂိမ်းကိုပိတ်ပါ။
L_6	Network Abnormal	網路異常	ネットワーク異常	Red anormal	Mtandao Usio wa Kawaida	Netværk unormalt	เครือข่ายผิดปกติ	Jaringan Abnormal	Mạng bất thường	atividade de rede anormal	네트워크 비정상	ကွန်ရက် မူမမှန်
L_7	Network Connection Is Abnormal. Reconnecting...	網路連線異常。正在重新連接...	ネットワーク接続が異常です。再接続しています...	Conexión de red anormal. Reconectando...	Muunganisho wa Mtandao Si Wa Kawaida. Inaunganisha upya...	Netværksforbindelsen er unormal. Genopretter forbindelse...	การเชื่อมต่อเครือข่ายผิดปกติ กำลังเชื่อมต่อใหม่...	Koneksi Jaringan Tidak Normal. Sedang Menyambung Kembali...	Kết nối mạng không bình thường. Đang kết nối lại...	Conexão de Rede Anormal. Reconectando...	네트워크 연결이 비정상적입니다. 다시 연결하는 중입니다...	ကွန်ရက်ချိတ်ဆက်မှု မူမမှန်ပါ။ ပြန်လည်ချိတ်ဆက်နေသည်...
L_8	Dear Player: Due to inactivity this game will close and automatically calculate the results.	尊贵的玩家：您已闲置游戏过久。我们将关闭游戏，并自动计算结果。	プレイヤーの皆様: 非アクティブのため、このゲームは終了し、結果が自動的に計算されます。	Estimado jugador: Debido a la inactividad, este juego se cerrará y calculará automáticamente los resultados.	Mpendwa Mchezaji: Kwa sababu ya kutotumika mchezo huu utafunga na kukokotoa matokeo kiotomatiki.	Kære spiller: På grund af inaktivitet vil dette spil lukke og automatisk beregne resultaterne.	เรียนผู้เล่น เนื่องจากไม่มีกิจกรรมใดๆ เกมนี้จะปิดลงและคำนวณผลลัพธ์โดยอัตโนมัติ	Pemain yang terhormat: Karena tidak aktif, permainan ini akan ditutup dan secara otomatis menghitung hasilnya.	Thân gửi người chơi: Do không hoạt động nên trò chơi này sẽ đóng lại và tự động tính toán kết quả.	Caros jogadores: Você está ocioso há muito tempo. Vamos fechar o jogo, o resultado é calculado automaticamente.	플레이어 여러분께: 활동이 없으면 게임이 종료되고 결과가 자동으로 계산됩니다.	ချစ်ခင်ရပါသော ကစားသမား- လှုပ်ရှားမှုမရှိခြင်းကြောင့် ဤဂိမ်းကို ပိတ်ပြီး ရလဒ်များကို အလိုအလျောက် တွက်ချက်ပါမည်။
L_9	ERROR	错误 	エラー	ERROR	HITILAFU	FEJL	ข้อผิดพลาด	KESALAHAN	LỖI	Erro	오류	အမှား
L_10	Code: 1	代碼：1	コード: 1	Código: 1	Kanuni: 1	Kode: 1	รหัส: 1	Kode: 1	Mã số: 1	Código de erro: 1	코드: 1	ကုဒ်- ၁
L_11	Code: 100	代碼：100	コード: 100	Código: 100	Kanuni: 100	Kode: 100	รหัส: 100	Kode: 100	Mã: 100	Código de erro: 100	코드: 100	ကုဒ်: 100
L_12	Code: 2	代碼：2	コード: 2	Código: 2	Kanuni: 2	Kode: 2	รหัส: 2	Kode: 2	Mã số: 2	Código de erro: 2	코드: 2	ကုဒ်- ၂
L_13	You have been disconnected. Check connection and refresh your browser, or go back to landing page	您已斷開連線。請檢查連線並刷新瀏覽器，或返回登入頁面	切断されました。接続を確認してブラウザを更新するか、ランディングページに戻ってください。	Se ha desconectado. Compruebe la conexión y actualice el navegador, o vuelva a la página de inicio.	Umetenganishwa. Angalia muunganisho na uonyeshe upya kivinjari chako, au rudi kwenye ukurasa wa kutua	Du er blevet afbrudt. Tjek forbindelsen, og opdater din browser, eller gå tilbage til destinationssiden	คุณถูกตัดการเชื่อมต่อ โปรดตรวจสอบการเชื่อมต่อและรีเฟรชเบราว์เซอร์ หรือกลับไปที่หน้าแรก	Koneksi Anda terputus. Periksa koneksi dan segarkan peramban Anda, atau kembali ke halaman awal.	Bạn đã bị ngắt kết nối. Hãy kiểm tra kết nối và làm mới trình duyệt hoặc quay lại trang đích.	Você foi desconectado. Verifique a conexão e atualize seu navegador ou volte para a página inicial.	연결이 끊어졌습니다. 연결 상태를 확인하고 브라우저를 새로 고치거나, 랜딩 페이지로 돌아가세요.	မင်းအဆက်ပြတ်သွားပြီ။ ချိတ်ဆက်မှုကို စစ်ဆေးပြီး သင့်ဘရောက်ဆာကို ပြန်လည်စတင်ပါ၊ သို့မဟုတ် ဆင်းသက်သည့်စာမျက်နှာသို့ ပြန်သွားပါ။
L_14	HOME	家	家	HOGAR	NYUMBANI	HJEM	บ้าน	RUMAH	TRANG CHỦ	LAR	집	ပင်မ